message_text,is_scam
Your library book is due next Monday.,0
The workshop registration is confirmed.,0
The college bus leaves at 8 AM tomorrow. Thank you.,0
Your WhatsApp verification code is required. Send the OTP to support.,1
The placement training session starts at 2 PM.,0
Your electricity connection will be disconnected tonight. Pay the pending bill now. Do not delay.,1
Your SIM will be deactivated within 2 hours. Verify Aadhaar now.,1
ನಿಮ್ಮ ಪಾವತಿ ಯಶಸ್ವಿಯಾಗಿ ಪೂರ್ಣಗೊಂಡಿದೆ. Thank you.,0
Bank refund initiated. Click the link and enter your UPI PIN.,1
Government scholarship approved. Pay the document verification fee to receive the amount. Do this immediately.,1
Your friend sent you money. Enter your UPI PIN to accept it.,1
"Classroom has been changed to Block B, Room 204.",0
Please bring two notebooks when you come home.,0
ಅಸೈನ್‌ಮೆಂಟ್ ಅನ್ನು ಶುಕ್ರವಾರದೊಳಗೆ ಸಲ್ಲಿಸಿ. Please confirm.,0
Your online banking password has expired. Confirm your password through this link. Verify now.,1
Your electricity connection will be disconnected tonight. Pay the pending bill now. Act now.,1
Special investment opportunity: Double your money in 7 days.,1
Your credit card reward points expire today. Click here to redeem them. Do not delay.,1
Your attendance report is available online.,0
Your bank statement is ready. Download this suspicious attachment.,1
URGENT: Your bank account will be blocked. Call this number now.,1
Your salary has been credited to your account.,0
Your food order has been delivered. Thank you.,0
Can you send me the project presentation? See you then.,0
Police notice: legal action has been initiated against your number. Contact us immediately. Do not delay.,1
Your library book is due next Monday. Please use the official app to check.,0
Immediate action required: your account login will be disabled.,1
Your credit card payment is due on the 25th.,0
I reached college safely. I will call after class. Let me know when you are free.,0
आपका टिकट सफलतापूर्वक बुक हो गया है।,0
Your mobile recharge was successful. Thank you.,0
Your parcel has reached the local delivery center.,0
Your account will be closed unless you complete KYC within one hour.,1
Your parcel is held at customs. Pay the clearance charge to receive delivery. Complete this within one hour.,1
Your order is ready for pickup at the store.,0
Please send me the notes from today's class. Please check.,0
Your recharge was successful.,0
The college bus leaves at 8 AM tomorrow.,0
Your internship interview is scheduled for Wednesday. Please check.,0
